# time	value
0	250
1	262.677
2	208.514
3	261.13
4	329.689
5	353.424
6	367.611
7	364.434
8	357.106
9	363.572
10	425.461
11	424.02
12	446.821
13	410.496
14	408.923
15	416.194
16	444.735
17	442.505
18	466.398
19	418.95
20	486.578
21	492.722
22	508.095
23	488.012
24	485.859
25	500.769
26	518.159
27	519.278
28	525.658
29	523.685
30	542.324
31	576.512
32	571.053
33	591.012
34	562.987
35	559.813
36	552.256
37	552.225
38	569.85
39	550.595
40	545.561
41	560.754
42	541.581
43	555.298
44	563.307
45	596.197
46	602.149
47	593.899
48	612.594
49	624.784
50	606.41
51	551.995
52	556.397
53	516.89
54	522.89
55	565.345
56	542.962
57	549.564
58	580.369
59	572.386
60	578.983
61	605.377
62	613.46
63	616.943
64	609.452
65	616.021
66	562.363
67	590.575
68	614.807
69	589.513
70	594.55
71	626.084
72	626.229
73	666.134
74	638.032
75	713.615
76	726.326
77	712.568
78	703.779
79	747.27
80	762.579
81	768.147
82	793.832
83	804.489
84	782.792
85	768.622
86	784.145
87	809.33
88	806.309
89	832.996
90	857.141
91	856.019
92	829.378
93	818.615
94	826.012
95	850.717
96	887.511
97	851.094
98	837.105
99	837.967
100	916.029
101	892.046
102	921.432
103	922.854
104	904.974
105	902.49
106	854.287
107	907.852
108	911.843
109	890.819
110	876.548
111	848.769
112	788.999
113	785.084
114	768.756
115	777.353
116	740.997
117	737.792
118	764.482
119	702.503
120	716.854
121	740.701
122	766.454
123	750.466
124	763.747
125	730.754
126	704.615
127	728.433
128	727.171
129	754.054
130	768.93
131	777.348
132	767.679
133	785.365
134	824.962
135	818.225
136	768.857
137	802.307
138	748.432
139	733.016
140	771.914
141	791.668
142	784.634
143	829.596
144	848.991
145	849.379
146	877.366
147	866.007
148	846.767
149	840.628
150	854.948
151	866.103
152	872.179
153	856.196
154	837.308
155	841.647
156	843.648
157	848.087
158	869.075
159	894.646
160	893.161
161	889.99
162	876.946
163	956.093
164	975.808
165	999.852
166	1008.94
167	998.416
168	1029.73
169	1079.63
170	1058.83
171	1111.3
172	1168.06
173	1160.99
174	1136.26
175	1141.06
176	1121.2
177	1140.11
178	1128.15
179	1111.43
180	1152.31
181	1164.59
182	1182.99
183	1133.33
184	1109.97
185	1078.76
186	1062.16
187	1087.21
188	1099.73
189	1090.43
190	1097.75
191	1129.93
192	1160.32
193	1184.71
194	1161.34
195	1150.04
196	1178.22
197	1186.39
198	1179.61
199	1175.17
200	1156.96
201	1147.65
202	1156.02
203	1187.83
204	1169.71
205	1149.46
206	1150.81
207	1172
208	1168.88
209	1171.47
210	1222.55
211	1269.5
212	1271.8
213	1276.35
214	1311.95
215	1317.31
216	1300.6
217	1313.96
218	1315.11
219	1290.14
220	1289.5
221	1284.21
222	1300.8
223	1286.76
224	1287.27
225	1271.91
226	1270.46
227	1273.31
228	1236.11
229	1249
230	1245.64
231	1213.54
232	1205.01
233	1215.5
234	1199.77
235	1240.66
236	1268.07
237	1219.72
238	1192.21
239	1224.62
240	1195.99
241	1205.28
242	1206.69
243	1224.19
244	1227.08
245	1233.26
246	1251.49
247	1298.58
248	1270.88
249	1283.18
250	1260.94
251	1262.16
252	1266.04
253	1204.08
254	1210.67
255	1213.46
256	1185.07
257	1223.38
258	1229.37
259	1245.26
260	1244.58
261	1194.84
262	1225
263	1151.08
264	1106.93
265	1126.88
266	1096.96
267	1114.91
268	1122.36
269	1116.4
270	1145.63
271	1170.12
272	1176.83
273	1136.58
274	1103.92
275	1119.35
276	1112.42
277	1084.28
278	1073.93
279	1070.73
280	1042.84
281	1049.89
282	1014.86
283	1022.32
284	1055.94
285	1070.99
286	1085.71
287	1075.61
288	1023.19
289	1022.61
290	1010.17
291	976.994
292	970.007
293	975.104
294	993.643
295	1005.42
296	1038.71
297	1019.34
298	977.536
299	1010.3
300	1013.59
301	1031.76
302	1035.37
303	1064.17
304	1070.16
305	1070.02
306	1093.8
307	1105.96
308	1106.22
309	1099.9
310	1132.24
311	1093.05
312	1070.79
313	1081.74
314	1106.45
315	1081.43
316	1129.62
317	1109.56
318	1130.65
319	1154.63
320	1199.48
321	1187
322	1191.75
323	1193.36
324	1193.75
325	1195.66
326	1207.16
327	1206.48
328	1214.51
329	1230.82
330	1247.34
331	1247.25
332	1276.12
333	1269.55
334	1212.39
335	1222.59
336	1224.11
337	1209.7
338	1200.9
339	1228.73
340	1189.02
341	1215.41
342	1230.71
343	1193.22
344	1172.27
345	1155.99
346	1126.96
347	1120.32
348	1131.98
349	1108.81
350	1047.88
351	1024.32
352	1029.72
353	1019.99
354	1019.2
355	1010.57
356	1026.98
357	1020.32
358	1001.63
359	1003.39
360	963.003
361	932.217
362	934.577
363	938.143
364	922.53
365	878.132
366	855.345
367	893.738
368	895.559
369	906.303
370	913.246
371	931.033
372	948.033
373	881.855
374	919.732
375	883.205
376	873.221
377	883.067
378	866.351
379	884.967
380	894.887
381	933.19
382	945.634
383	944.082
384	962.284
385	954.076
386	960.747
387	950.192
388	965.016
389	995.189
390	1028.56
391	1075.71
392	1023.34
393	1033.74
394	1025.5
395	1016.12
396	1033.13
397	1035
398	1015.85
399	986.759
400	1040.15
401	1054.41
402	1048.96
403	1031.57
404	998.931
405	980.236
406	1025.11
407	996.751
408	1033.21
409	1026.55
410	1034.07
411	1038.29
412	1055.25
413	1111.59
414	1144.94
415	1146.59
416	1129.77
417	1165.13
418	1129.54
419	1123.61
420	1081.72
421	1128.41
422	1170.37
423	1120.68
424	1094.67
425	1137.39
426	1127.03
427	1142.22
428	1151.45
429	1133.97
430	1084.69
431	1099.08
432	1077.38
433	1089.8
434	1075.91
435	1102.7
436	1106.5
437	1129.9
438	1124.05
439	1111.53
440	1134.84
441	1095.72
442	1090.99
443	1095.42
444	1122.67
445	1155.6
446	1147.27
447	1131.97
448	1129.46
449	1105.53
450	1087.54
451	1065.64
452	1109.12
453	1091.02
454	1093.22
455	1059.78
456	1074.75
457	1054.14
458	1047.33
459	1026.18
460	1049.71
461	1061.15
462	1106.63
463	1136.22
464	1197.01
465	1196.34
466	1149.43
467	1137.85
468	1111.41
469	1075.12
470	1041.23
471	1072.14
472	1052.03
473	1054.77
474	1041.95
475	1041.06
476	1038.07
477	1067.93
478	1005.07
479	1020.79
480	1018.96
481	1003.19
482	975.35
483	945.661
484	935.891
485	966.05
486	977.947
487	983.48
488	987.497
489	1018.02
490	991.468
491	1030.61
492	1046.4
493	1034.41
494	1024.45
495	1016.75
496	1022.43
497	998.112
498	986.846
499	987.942
500	971.98
501	946.33
502	962.618
503	935.246
504	962.16
505	961.946
506	966.121
507	999.058
508	952.468
509	935.189
510	917.893
511	937.102
512	923.064
513	923.894
514	922.247
515	900.898
516	896.733
517	921.715
518	927.011
519	944.92
520	973.117
521	988.509
522	960.808
523	956.787
524	973.286
525	966.582
526	953.797
527	970.326
528	970.522
529	1003.67
530	995.512
531	1029.87
532	1076.89
533	1081.65
534	1101.39
535	1075.26
536	1116.61
537	1108.97
538	1128.49
539	1134.3
540	1153.27
541	1167.65
542	1176.22
543	1171.12
544	1177.8
545	1192.09
546	1213.79
547	1223.1
548	1178.82
549	1184.7
550	1185.45
551	1173.74
552	1172.65
553	1189.65
554	1201.23
555	1204.99
556	1278.74
557	1268.47
558	1280.14
559	1336.49
560	1348.17
561	1358.18
562	1362.79
563	1357.41
564	1324.37
565	1339.6
566	1348.32
567	1349.41
568	1361.69
569	1379.4
570	1382.69
571	1402.94
572	1458.08
573	1429.48
574	1408.33
575	1452.72
576	1483.87
577	1485.2
578	1481.51
579	1496.5
580	1456.1
581	1489.53
582	1486.31
583	1475.88
584	1465.81
585	1425.3
586	1405.27
587	1399.37
588	1327.55
589	1316.45
590	1327.9
591	1300.05
592	1315.47
593	1309.4
594	1322.95
595	1341.12
596	1342.18
597	1336.11
598	1293.05
599	1263.33
600	1290.95
601	1308.26
602	1237.98
603	1261.33
604	1270.24
605	1297.16
606	1270.71
607	1264.02
608	1250.22
609	1244.56
610	1249.84
611	1245.43
612	1283.06
613	1304.56
614	1325.57
615	1293.59
616	1331.46
617	1316.87
618	1263.04
619	1230.74
620	1254.28
621	1283.08
622	1258.83
623	1276.68
624	1266.88
625	1275.65
626	1272.08
627	1252.97
628	1229.06
629	1231.34
630	1253.97
631	1225.47
632	1232.87
633	1219.92
634	1238.19
635	1236.49
636	1249.66
637	1265.5
638	1228.21
639	1256.44
640	1262.15
641	1255.39
642	1229.87
643	1212.09
644	1196.24
645	1199.47
646	1163.79
647	1180.29
648	1161.33
649	1172.89
650	1194.42
651	1188.71
652	1194.63
653	1140.12
654	1120.94
655	1160.7
656	1183.49
657	1150.29
658	1166.27
659	1153.19
660	1188.78
661	1184.86
662	1158.62
663	1148.22
664	1150.33
665	1157.94
666	1144.35
667	1095.02
668	1111.44
669	1138.87
670	1154.91
671	1191.62
672	1219.96
673	1213.47
674	1196.53
675	1197.7
676	1196.63
677	1235.96
678	1228.65
679	1229
680	1219.86
681	1216.51
682	1201.39
683	1185.37
684	1138.61
685	1149.02
686	1132.94
687	1117.78
688	1131.33
689	1090.59
690	1087.26
691	1124.35
692	1163.34
693	1149.63
694	1124.28
695	1117.52
696	1109.61
697	1136.09
698	1131.52
699	1151.7
700	1150.2
701	1184.34
702	1146.54
703	1143.55
704	1130.11
705	1136.03
706	1112.96
707	1078.23
708	1104.91
709	1150.75
710	1139.22
711	1183.53
712	1183.89
713	1175.55
714	1189.24
715	1185.16
716	1191.56
717	1195.5
718	1143.59
719	1133.06
720	1157.08
721	1193.55
722	1226.99
723	1234.6
724	1261.24
725	1269.97
726	1227.8
727	1226.8
728	1237.3
729	1215.7
730	1236.74
731	1222.43
732	1231.43
733	1241.42
734	1242.72
735	1229.86
736	1242.45
737	1235.94
738	1222.79
739	1236.97
740	1231.92
741	1234
742	1276.66
743	1280.79
744	1350.13
745	1364.33
746	1327.37
747	1346.71
748	1330.99
749	1330.75
750	1367.13
751	1371.75
752	1362.32
753	1332.59
754	1312.15
755	1293.77
756	1312.49
757	1287.58
758	1270.89
759	1280.32
760	1310.79
761	1322.13
762	1312.93
763	1268.36
764	1238.99
765	1235.65
766	1294.93
767	1308.21
768	1319.22
769	1316.81
770	1277.42
771	1265.61
772	1258.16
773	1260.77
774	1252.91
775	1292.84
776	1311.79
777	1355.4
778	1415.32
779	1418.08
780	1392.57
781	1398.73
782	1417
783	1367.75
784	1384.83
785	1393.8
786	1401.53
787	1414.05
788	1427.61
789	1451.96
790	1435.81
791	1443.72
792	1471.22
793	1487.27
794	1458.44
795	1491.45
796	1515.15
797	1552.65
798	1545.01
799	1568.58
800	1591.58
801	1628.85
802	1646.38
803	1667.45
804	1636.45
805	1630.66
806	1602.83
807	1607.99
808	1587.92
809	1608.37
810	1630.73
811	1633.25
812	1653.09
813	1639.88
814	1625.79
815	1616.56
816	1646.16
817	1649.55
818	1638.11
819	1645.5
820	1644.06
821	1678.05
822	1672.54
823	1657.63
824	1650.5
825	1645.58
826	1623.08
827	1617.46
